wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1439.65063477
1000.0        1439.65063477
1500.0        1439.65063477
2000.0        1439.65063477
2500.0        1439.65063477
3000.0        1662.09854911
3500.0        2379.06577264
4000.0        3062.6797625
4500.0        3916.00647291
5000.0        5001.12982042
5500.0        5678.11841585
6000.0        6820.11412099
6500.0        7488.40877314
7000.0        8032.29396229
7500.0        8045.85678819
8000.0        8045.85678819
8500.0        8045.85678819
9000.0        8045.85678819
9500.0        8045.85678819
10000.0        8045.85678819
10500.0        8045.85678819
11000.0        8045.85678819
11500.0        8045.85678819
12000.0        8045.85678819
12500.0        8045.85678819
13000.0        8045.85678819
13500.0        8045.85678819
14000.0        8045.85678819
14500.0        8045.85678819
15000.0        8045.85678819
15500.0        8045.85678819
16000.0        8045.85678819
16500.0        8045.85678819
17000.0        8045.85678819
17500.0        8045.85678819
18000.0        8045.85678819
18500.0        8045.85678819
19000.0        8045.85678819
19500.0        8045.85678819
20000.0        8045.85678819
