D:\Data\LTI_Projects\CALGUI\Workspace\Run\Lookup\gui_NDO_Flow.table
year_type month day
1 1 4000
1 2 4500
1 3 4500
1 4 4500
1 5 4000
1 6 4000
1 7 4000
1 8 4000
1 9 4000
1 10 8000
1 11 4000
1 12 3000
2 1 4000
2 2 4500
2 3 4500
2 4 4500
2 5 4000
2 6 4000
2 7 4000
2 8 4000
2 9 4000
2 10 8000
2 11 4000
2 12 3000
3 1 4000
3 2 4500
3 3 4500
3 4 4500
3 5 4000
3 6 4000
3 7 4000
3 8 4000
3 9 4000
3 10 6500
3 11 4000
3 12 3000
4 1 4000
4 2 4500
4 3 4500
4 4 4500
4 5 4000
4 6 4000
4 7 4000
4 8 4000
4 9 4000
4 10 5000
4 11 3500
4 12 3000
5 1 3000
5 2 3500
5 3 3500
5 4 4500
5 5 4000
5 6 4000
5 7 4000
5 8 4000
5 9 4000
5 10 4000
5 11 3000
5 12 3000
