ID	Primary	Secondary	Ytitle	Title	Slegend
TRINITY	S_TRNTY/STORAGE,E_TRNTY/EVAPORATION,A_TRNTY/SURFACE-AREA,C_TRNTY/FLOW-CHANNEL	null	Storage	Trinity Experimental View		null
LEWISTON	C_TRNTY/FLOW-CHANNEL,C_LWSTN/FLOW-CHANNEL,D_CLEARTU/FLOW-TUNNEL	null	Flow	Flows at Lewiston	null
S_TRNTY	S_TRNTY/STORAGE	null	Storage	Storage at Trinity	null
C_ALAMO	C_ALAMO/FLOW-CHANNEL	null	Flow	Flow at ALAMO	null
C_BNKEXP	C_BNKEXP/FLOW-CHANNEL	null	Flow	Flow at BNKEXP	null
C_CHRISPP	C_CHRISPP/FLOW-CHANNEL	null	Flow	Flow at CHRISPP	null
C_COASTAQDCT	C_COASTAQDCT/FLOW-CHANNEL	null	Flow	Flow at COASTAQDCT	null
C_CONYIS	C_CONYIS/FLOW-CHANNEL	null	Flow	Flow at CONYIS	null
C_CVC	C_CVC/FLOW-CHANNEL	null	Flow	Flow at CVC	null
C_CVPJU	C_CVPJU/FLOW-CHANNEL	null	Flow	Flow at CVPJU	null
C_DAGUER	C_DAGUER/FLOW-CHANNEL	null	Flow	Flow at DAGUER	null
C_DELTA	C_DELTA/FLOW-CHANNEL	null	Flow	Flow at DELTA	null
C_DSAMGC	C_DSAMGC/FLOW-CHANNEL	null	Flow	Flow at DSAMGC	null
C_DSAMGS	C_DSAMGS/FLOW-CHANNEL	null	Flow	Flow at DSAMGS	null
C_DXC	C_DXC/FLOW-CHANNEL	null	Flow	Flow at DXC	null
C_FOLSM	C_FOLSM/FLOW-CHANNEL	null	Flow	Flow at FOLSM	null
C_HOOD	C_HOOD/FLOW-CHANNEL	D_HOOD/FLOW-DELIVERY	Flow	Sacramento River at Hood	Diversion
C_HST	C_HST/FLOW-CHANNEL	null	Flow	Flow at HST	null
C_INDNSL	C_INDNSL/FLOW-CHANNEL	null	Flow	Flow at INDNSL	null
C_INTRTI	C_INTRTI/FLOW-CHANNEL	null	Flow	Flow at INTRTI	null
C_JTUTERM	C_JTUTERM/FLOW-CHANNEL	null	Flow	Flow at JTUTERM	null
C_KCWA	C_KCWA/FLOW-CHANNEL	null	Flow	Flow at KCWA	null
C_KSWCK	C_KSWCK/FLOW-CHANNEL	C_KSWCK_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Keswick	Minimum Instream Flow
C_LASPER	C_LASPER/FLOW-CHANNEL	null	Flow	Flow at LASPER	null
C_LWSTN	C_LWSTN/FLOW-CHANNEL	null	Flow	Flow at LWSTN	null
C_MOKLMN	C_MOKLMN/FLOW-CHANNEL	null	Flow	Flow at MOKLMN	null
C_MPOOL	C_MPOOL/FLOW-CHANNEL	null	Flow	Flow at MPOOL	null
C_NBA	C_NBA/FLOW-CHANNEL	null	Flow	Flow at NBA	null
C_NIMBUS	C_NIMBUS/FLOW-CHANNEL	C_NIMBUS_MIF/FLOW-MIN-INSTREAM	Flow	American River at Nimbus	Minimum Instream Flow
C_OFBCVP	C_OFBCVP/FLOW-CHANNEL	null	Flow	Flow at OFBCVP	null
C_OFBSWP	C_OFBSWP/FLOW-CHANNEL	null	Flow	Flow at OFBSWP	null
C_OMR	C_OMR/FLOW-CHANNEL	C_INDNSL/FLOW-CHANNEL	Flow	Old and Middle River	Indian Slough Flow
C_ONLFB	C_ONLFB/FLOW-CHANNEL	null	Flow	Flow at ONLFB	null
C_OROVL	C_OROVL/FLOW-CHANNEL	null	Flow	Flow at OROVL	null
C_OSO	C_OSO/FLOW-CHANNEL	null	Flow	Flow at OSO	null
C_PEARBLPP	C_PEARBLPP/FLOW-CHANNEL	null	Flow	Flow at PEARBLPP	null
C_REDBLF	C_REDBLF/FLOW-CHANNEL	C_REDBLF_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Red Bluff	Minimum Instream Flow
C_SACAME	C_SACAME/FLOW-CHANNEL	null	Flow	Flow at SACAME	null
C_SACBI	C_SACBI/FLOW-CHANNEL	null	Flow	Flow at SACBI	null
C_SACDXC	C_SACDXC/FLOW-CHANNEL	null	Flow	Flow at SACDXC	null
C_SACFEA	C_SACFEA/FLOW-CHANNEL	null	Flow	Flow at SACFEA	null
C_SACND	C_SACND/FLOW-CHANNEL	null	Flow	Flow at SACND	null
C_SACRV	C_SACRV/FLOW-CHANNEL	RIOVISTA_SWRCB_DV/DELTAFLOWCRITERIA	Flow	Sacramento_River_at_Rio_Vista	Sacramento_River_Flow_Criteria_at_Rio_Vista
C_SACSJR	C_SACSJR/FLOW-CHANNEL	NDO_SWRCB_DV/DELTAFLOWCRITERIA	Flow	Net_Delta_Outflow	Detla_OutFlow_Criteria
C_SBAY	C_SBAY/FLOW-CHANNEL	null	Flow	Flow at SBAY	null
C_SHSTA	C_SHSTA/FLOW-CHANNEL	null	Flow	Flow at SHSTA	null
C_SJRCAL	C_SJRCAL/FLOW-CHANNEL	null	Flow	Flow at SJRCAL	null
C_SJRCD	C_SJRCD/FLOW-CHANNEL	null	Flow	Flow at SJRCD	null
C_SJRMI	C_SJRMI/FLOW-CHANNEL	null	Flow	Flow at SJRMI	null
C_SJRSTO	C_SJRSTO/FLOW-CHANNEL	null	Flow	Flow at SJRSTO	null
C_SJRVER	C_SJRVER/FLOW-CHANNEL	null	Flow	Flow at SJRVER	null
C_SJRVI	C_SJRVI/FLOW-CHANNEL	null	Flow	Flow at SJRVI	null
C_SLCVP	C_SLCVP/FLOW-CHANNEL	null	Flow	Flow at SLCVP	null
C_SLSWP	C_SLSWP/FLOW-CHANNEL	null	Flow	Flow at SLSWP	null
C_SWPJU	C_SWPJU/FLOW-CHANNEL	null	Flow	Flow at SWPJU	null
C_THERM	C_THERM/FLOW-CHANNEL	C_THERM_MIF/FLOW-MIN-INSTREAM	Flow	Feather River at Thermolito	Minimum Instream Flow
C_TRMNS	C_TRMNS/FLOW-CHANNEL	null	Flow	Flow at TRMNS	null
C_TRNTY	C_TRNTY/FLOW-CHANNEL	null	Flow	Flow at TRNTY	null
C_UPDMC	C_UPDMC/FLOW-CHANNEL	null	Flow	Flow at UPDMC	null
C_VRNLIS	C_VRNLIS/FLOW-CHANNEL	null	Flow	Flow at VRNLIS	null
C_WARNEPP	C_WARNEPP/FLOW-CHANNEL	null	Flow	Flow at WARNEPP	null
