what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129525759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129528073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129529680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129570437
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291129576532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129601795
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1291129601818
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129637115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291129671570
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291129675282
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291129678669
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291129681129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291129681588
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291129684825
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291129685941
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291129696427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129697117
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129711565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129712605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129761140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129762563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129846849
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291129848667
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291129863292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129888322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129914037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291129916732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130040074
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291130042802
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291130045476
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291130046407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130047116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130060306
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291130071379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130072056
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130078146
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130079617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130210589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130213771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130236441
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291130247540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130248325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130252680
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291130252699
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291130262932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130287624
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130289045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130290295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130291480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130292830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130294791
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130296601
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130297134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130297715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130299242
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130299697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130300265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130303321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130307894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130332044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130336325
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130340642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130341783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130343127
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130345029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291130346487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291130352819
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291130356501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291130357247
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291130359390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130360105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130364521
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291130364540
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291130368181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130373727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130377599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130379239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130385672
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291130395071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130395649
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130400506
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291130412479
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130413127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130419989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130442468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130465940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291130466147
