what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.0.v201010280102,"com.google.gdt.eclipse.platform.shared",1290200523450
started,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280102,"com.google.gdt.eclipse.suite",1290200523454
started,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core",1290200523463
os,sysinfo,,,"win32",1290200523466
arch,sysinfo,,,"x86",1290200523466
ws,sysinfo,,,"win32",1290200523466
locale,sysinfo,,,"en_US",1290200523466
processors,sysinfo,,,"2",1290200523466
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1290200523466
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1290200523466
java.specification.name,sysinfo,,,"Java Platform API Specification",1290200523466
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290200523466
java.specification.version,sysinfo,,,"1.6",1290200523466
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1290200523466
java.version,sysinfo,,,"1.6.0_20",1290200523466
java.vm.info,sysinfo,,,"mixed mode, sharing",1290200523466
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1290200523466
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1290200523466
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290200523466
java.vm.specification.version,sysinfo,,,"1.0",1290200523466
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290200523466
java.vm.version,sysinfo,,,"16.3-b01",1290200523466
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1290200523641
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1290200523745
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1290200523951
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1290200524249
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1290200524445
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1290200524481
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1290200524817
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1290200524830
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1290200524966
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1290200525123
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1290200525186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290200535368
started,bundle,com.instantiations.eclipse.util,6.0.0.r36x201010211311,"com.instantiations.eclipse.util",1290200535463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290200552164
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1290200552207
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1290200554661
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1290200554732
started,bundle,com.instantiations.designer.rcp,8.1.0.r36x201010220731,"com.instantiations.designer.rcp",1290200556018
started,bundle,com.instantiations.designer.swt,8.1.0.r36x201010220720,"com.instantiations.designer.swt",1290200556204
started,bundle,com.instantiations.designer.swing,8.1.0.r36x201010220722,"com.instantiations.designer.swing",1290200556251
started,bundle,com.instantiations.designer.core.xml,8.1.0.r36x201010220713,"com.instantiations.designer.core.xml",1290200556800
started,bundle,com.instantiations.designer.gwt.ExtGWT,8.1.0.r36x201010220728,"com.instantiations.designer.gwt.ExtGWT",1290200557866
started,bundle,com.instantiations.designer.gwt.SmartGWT,8.1.0.r36x201010220728,"com.instantiations.designer.gwt.SmartGWT",1290200558246
started,bundle,com.instantiations.designer.gwt.UiBinder,8.1.0.r36x201010220716,"com.instantiations.designer.gwt.UiBinder",1290200558934
started,bundle,com.instantiations.eclipse.debug,6.0.0.r36x201010211311,"com.instantiations.eclipse.debug",1290200559212
started,bundle,com.instantiations.eclipse.startup,6.0.0.r36x201010211311,"com.instantiations.eclipse.startup",1290200559212
started,bundle,com.instantiations.eclipse.usageprofiler,6.0.0.r36x201010211311,"com.instantiations.eclipse.usageprofiler",1290200559345
