what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126042141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126110662
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1291126113546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126120467
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1291126137486
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1291126137508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126137569
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291126139095
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126142204
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1291126147831
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291126148075
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1291126148936
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126151352
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291126153324
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1291126153998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291126155410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126165303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126167421
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126167498
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1291126167527
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1291126168770
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1291126169104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126177027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126179435
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1291126179441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126183954
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291126194794
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291126194895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126194944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126196994
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126201463
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291126202176
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126204294
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291126208135
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126211400
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291126212925
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291126213827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291126214818
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1291126237627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126254077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126260105
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126309010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126457849
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126459602
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291126460684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126461297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126470049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126471938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126569436
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126583309
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126597437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126610780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126683698
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291126698843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126699963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126708295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291126710852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126712939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126782931
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1291126789125
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1291126789143
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1291126789510
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1291126789513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291126791309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126803794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126803892
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291126809348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126810088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126816996
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291126820998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126824291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126824398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126834100
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126834182
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291126837037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126837722
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126842535
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291126843791
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291126844822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126854022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126904172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126909971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126931607
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291126933850
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291126936550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126939780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126942865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291126947102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127015095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127015706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127131901
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127135931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291127146170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291127148759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127152397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127152518
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127160446
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127161157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127176625
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127201091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127201763
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127210653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291127227335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291127228496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291127238345
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127243952
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291127245926
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127248951
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127262708
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1291127266302
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127268668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291127279721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291127286596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291127287344
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291127325701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291127329920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291127335719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291127342617
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291127350233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291127350902
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127383438
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127405512
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291127409282
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127415333
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291127418936
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127421399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127422214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127426113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127427674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127463318
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127465278
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127465914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127467878
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127468980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127579752
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127581389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127581978
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127584974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127587301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127704089
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127705990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127706636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127723486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127725592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127771374
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127773371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127773953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127779822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127783148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127808985
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127810590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127811146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127825341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127827119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127838779
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127840837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127841440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127843499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127844584
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127869454
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291127870954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127871533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127874638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127876363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291127932810
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291128192906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128193544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128266678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128293690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128333792
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128335147
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128338139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128344434
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1291128344459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128348700
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128351810
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128364385
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128367189
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291128381619
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128392656
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128428584
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128434766
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291128449624
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291128450091
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291128451225
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291128452374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128453550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128460986
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128466132
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291128492077
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128494159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128495152
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1291128495176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128501157
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291128507851
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291128508842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128509516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291128516067
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291128516596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1291128519392
