what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291058839481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291058839689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291058840232
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291058844054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058846978
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058850680
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058853473
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058856130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058858354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058861226
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058864465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058866401
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058879761
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291058881861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291058922076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291058941880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060584383
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291060656818
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291060659894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060662913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060673843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060675417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060720668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060721341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060723255
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291060724461
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291060741089
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291060742125
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291060750370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060758880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060812262
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291060814694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060815727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060833317
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291060834367
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291060842118
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291060900422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291060906715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061127519
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291061134579
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291061144720
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291061149364
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061163366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061273345
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291061275666
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291061281651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061284904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061288955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291061294353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061297833
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061298744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061299562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061302290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291061309890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291061310772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061318650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061347200
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291061348137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061352279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061353493
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291061358051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061359693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061384121
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291061385832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291061387050
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291061392130
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291061395141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061404688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061412398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061413417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061415916
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291061417625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061431955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061457543
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291061460069
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291061460490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291061466270
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291061475215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291061475567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061496134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061518172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061531458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061537455
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291061546736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061558524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061569536
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291061580900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291061582281
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291061584468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061585611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061598131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291061599807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062100410
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291062101776
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291062113179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062117142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062201663
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291062205136
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291062209940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062210837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062257723
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291062259591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062260601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062266483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062269243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062392510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062393123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062436667
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291062440407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062447279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062464467
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291062465919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062466952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062484908
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062485793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062528304
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291062529979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062530944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062536897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291062538094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063413908
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291063429662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063430706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063456252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291063497595
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291063501255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063513005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1291063513031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063520379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291063524549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063525999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063557702
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291063560039
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291063562825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291063572663
